=== TOKENS ENCONTRADOS ===
399
[L:1,C:1] COMENTARIO: // Indica que estamos en el archivo principal
[L:2,C:1] PALABRA CLAVE: fn
[L:2,C:4] IDENTIFICADOR: main
[L:2,C:8] PUNTUACION: (
[L:2,C:9] PUNTUACION: )
[L:2,C:11] PUNTUACION: {
[L:3,C:5] IDENTIFICADOR: println
[L:3,C:12] OPERADOR: !
[L:3,C:13] PUNTUACION: (
[L:3,C:14] CADENA: "Hola, mundo!"
[L:3,C:28] PUNTUACION: )
[L:3,C:29] PUNTUACION: ;
[L:3,C:31] COMENTARIO: // Imprime un mensaje en consola
[L:5,C:5] IDENTIFICADOR: println
[L:5,C:12] OPERADOR: !
[L:5,C:13] PUNTUACION: (
[L:5,C:14] CADENA: "\n\nTipos de datos"
[L:5,C:34] PUNTUACION: )
[L:5,C:35] PUNTUACION: ;
[L:6,C:5] IDENTIFICADOR: tipos_datos
[L:6,C:16] PUNTUACION: (
[L:6,C:17] PUNTUACION: )
[L:6,C:18] PUNTUACION: ;
[L:8,C:5] IDENTIFICADOR: println
[L:8,C:12] OPERADOR: !
[L:8,C:13] PUNTUACION: (
[L:8,C:14] CADENA: "\n\nCondicionales"
[L:8,C:33] PUNTUACION: )
[L:8,C:34] PUNTUACION: ;
[L:9,C:5] IDENTIFICADOR: condicionales
[L:9,C:18] PUNTUACION: (
[L:9,C:19] PUNTUACION: )
[L:9,C:20] PUNTUACION: ;
[L:11,C:5] IDENTIFICADOR: println
[L:11,C:12] OPERADOR: !
[L:11,C:13] PUNTUACION: (
[L:11,C:14] CADENA: "\n\nCiclo For"
[L:11,C:29] PUNTUACION: )
[L:11,C:30] PUNTUACION: ;
[L:12,C:5] IDENTIFICADOR: ciclo_for
[L:12,C:14] PUNTUACION: (
[L:12,C:15] PUNTUACION: )
[L:12,C:16] PUNTUACION: ;
[L:14,C:5] IDENTIFICADOR: println
[L:14,C:12] OPERADOR: !
[L:14,C:13] PUNTUACION: (
[L:14,C:14] CADENA: "\n\nArreglos"
[L:14,C:28] PUNTUACION: )
[L:14,C:29] PUNTUACION: ;
[L:15,C:5] IDENTIFICADOR: arreglos
[L:15,C:13] PUNTUACION: (
[L:15,C:14] PUNTUACION: )
[L:15,C:15] PUNTUACION: ;
[L:17,C:5] IDENTIFICADOR: println
[L:17,C:12] OPERADOR: !
[L:17,C:13] PUNTUACION: (
